Nonner Thermostat, Startup,2017-06-16 19:37:31.368323
Nonner Thermostat, Startup,2017-06-16 19:38:43.322993
Nonner Thermostat, Startup,2017-06-16 19:39:23.463701
Nonner Thermostat, Startup,2017-06-16 19:39:58.629043
Nonner Thermostat, Startup,2017-06-16 19:41:36.649406
Nonner Thermostat, Startup,2017-06-16 19:56:37.285938
Nonner Thermostat, Startup,2017-06-16 20:21:25.334613
Nonner Thermostat, Startup,2017-06-16 20:22:16.533136
Nonner Thermostat, Startup,2017-06-16 20:23:05.910366
Nonner Thermostat, Startup,2017-06-16 20:30:52.522123
Nonner Thermostat, Startup,2017-06-16 20:32:05.221380
Nonner Thermostat, Startup,2017-06-16 20:32:26.611599
Nonner Thermostat, Startup,2017-06-16 20:41:56.495552
Nonner Thermostat, Startup,2017-06-16 20:42:11.582186
Nonner Thermostat, Startup,2017-06-17 10:59:28.695099
Nonner Thermostat, Startup,2017-06-17 11:04:04.074936
Nonner Thermostat, Startup,2017-06-17 11:04:20.617806
Nonner Thermostat, Startup,2017-06-17 11:04:50.201195
Nonner Thermostat, Startup,2017-06-17 11:05:16.500659
Nonner Thermostat, Startup,2017-06-17 11:05:28.780142
Nonner Thermostat, Startup,2017-06-17 11:15:13.709001
Nonner Thermostat, Start of Cycle,2017-06-17 11:15:13.766653
Nonner Thermostat, Startup,2017-06-17 11:16:37.601035
Nonner Thermostat, End,2017-06-17 11:16:40.985003
Nonner Thermostat, Startup,2017-06-17 11:26:21.502852
Nonner Thermostat, End,2017-06-17 11:26:30.174977
Nonner Thermostat, Startup,2017-06-17 13:15:50.030149
Nonner Thermostat, End,2017-06-17 13:15:56.432727
Nonner Thermostat, Startup,2017-06-17 13:27:58.126180
Nonner Thermostat, End,2017-06-17 13:28:00.508388
Nonner Thermostat, Startup,2017-06-17 13:50:52.417472
Nonner Thermostat, End,2017-06-17 13:50:55.662777
Nonner Thermostat, Startup,2017-06-17 14:13:32.763590
Nonner Thermostat, End,2017-06-17 14:13:35.617784
Nonner Thermostat, Startup,2017-06-17 18:37:52.426693
Nonner Thermostat, End,2017-06-17 18:37:54.481804
Nonner Thermostat, Startup,2017-06-17 18:42:20.211615
Nonner Thermostat, End,2017-06-17 18:42:30.834416
Nonner Thermostat, Startup,2017-06-17 18:54:12.325491
Nonner Thermostat, End,2017-06-17 18:54:22.960623
Nonner Thermostat, Startup,2017-06-17 19:15:39.982838
Nonner Thermostat, End,2017-06-17 19:15:50.443221
Nonner Thermostat, Startup,2017-06-17 19:38:07.802636
Nonner Thermostat, End,2017-06-17 19:38:21.005251
Nonner Thermostat, Startup,2017-06-17 19:51:54.086609
Nonner Thermostat, End,2017-06-17 19:52:21.029166
Nonner Thermostat, Startup,2017-06-17 20:04:34.514569
Nonner Thermostat, End,2017-06-17 20:04:59.492466
Nonner Thermostat, Startup,2017-06-17 20:26:10.667523
Nonner Thermostat, End,2017-06-17 20:26:30.562237
Nonner Thermostat, Startup,2017-06-17 20:48:01.081190
Nonner Thermostat, End,2017-06-17 20:48:17.802805
Nonner Thermostat, Startup,2017-06-17 21:09:15.131498
Nonner Thermostat, End,2017-06-17 21:09:30.454072
Nonner Thermostat, Startup,2017-06-17 21:23:51.329135
Nonner Thermostat, End,2017-06-17 21:24:11.756542
Nonner Thermostat, Startup,2017-06-17 21:44:56.250254
Nonner Thermostat, End,2017-06-17 21:45:21.546483
Nonner Thermostat, Startup,2017-06-17 21:56:09.905208
Nonner Thermostat, End,2017-06-17 21:56:26.380759
Nonner Thermostat, Startup,2017-06-18 05:49:59.168366
Nonner Thermostat, End,2017-06-18 05:50:41.730176
Nonner Thermostat, Startup,2017-06-18 05:51:49.653436
Nonner Thermostat, End,2017-06-18 05:52:17.796552
Nonner Thermostat, Startup,2017-06-18 05:52:17.799560
Nonner Thermostat, End,2017-06-18 05:52:37.769301
Nonner Thermostat, Startup,2017-06-18 05:52:37.772309
Nonner Thermostat, End,2017-06-18 05:52:58.301929
Nonner Thermostat, Startup,2017-06-18 05:52:58.304937
Nonner Thermostat, End,2017-06-18 05:53:19.821342
Nonner Thermostat, Startup,2017-06-18 05:53:19.840606
Nonner Thermostat, End,2017-06-18 05:53:39.846635
Nonner Thermostat, Startup,2017-06-18 05:53:39.849644
Nonner Thermostat, End,2017-06-18 05:53:59.711718
Nonner Thermostat, Startup,2017-06-18 05:53:59.745826
Nonner Thermostat, End,2017-06-18 05:54:20.814498
Nonner Thermostat, Startup,2017-06-18 05:54:20.833657
Nonner Thermostat, End,2017-06-18 05:54:42.394448
Nonner Thermostat, Startup,2017-06-18 05:54:42.397455
Nonner Thermostat, End,2017-06-18 05:55:03.253311
Nonner Thermostat, Startup,2017-06-18 05:55:03.257310
Nonner Thermostat, End,2017-06-18 05:55:24.719771
Nonner Thermostat, Startup,2017-06-18 05:55:24.722778
Nonner Thermostat, End,2017-06-18 05:55:42.378418
Nonner Thermostat, Startup,2017-06-18 05:55:42.381427
Nonner Thermostat, End,2017-06-18 05:55:59.506996
Nonner Thermostat, Startup,2017-06-18 05:55:59.515486
Nonner Thermostat, End,2017-06-18 05:56:17.067258
Nonner Thermostat, Startup,2017-06-18 05:56:17.069727
Nonner Thermostat, End,2017-06-18 05:56:34.077710
Nonner Thermostat, Startup,2017-06-18 05:56:34.104467
Nonner Thermostat, End,2017-06-18 05:56:50.393110
Nonner Thermostat, Startup,2017-06-18 05:56:50.434029
Nonner Thermostat, End,2017-06-18 05:57:07.402357
Nonner Thermostat, Startup,2017-06-18 05:57:07.405366
Nonner Thermostat, End,2017-06-18 05:57:24.409689
Nonner Thermostat, Startup,2017-06-18 05:57:24.429362
Nonner Thermostat, End,2017-06-18 05:57:43.997664
Nonner Thermostat, Startup,2017-06-18 05:57:44.001675
